,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
189,The Last Stand,2013,"Action, Thriller            ",6.3,The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border where the only thing in his path is a sheriff and his inexperienced staff.,"    DirectorJee-woon Kim     StarsArnold Schwarzenegger, Forest Whitaker, Johnny Knoxville, Rodrigo Santoro","1,35,448",107.0,12.05
190,De rouille et d'os,2012,"Drama, Romance            ",7.5,Put in charge of his young son Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie a killer whale trainer grows deeper after Stephanie suffers a horrible accident.,"    DirectorJacques Audiard     StarsMarion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette","65,455",120.0,2.06
191,Young Guns II,1990,"Action, Western            ",6.5,In 1881 cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.,"    DirectorGeoff Murphy     StarsEmilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Christian Slater","33,616",104.0,44.14
192,Pan,2015,"Adventure, Comedy, Family            ",5.7,Twelve-year-old orphan Peter is spirited away to the magical world of Neverland where he finds both fun and danger and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.,"    DirectorJoe Wright     StarsLevi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara","61,772",111.0,35.09
193,The Iceman,2012,"Biography, Crime, Drama            ",6.8,The story of Richard Kuklinski the notorious contract killer and family man. When finally arrested in 1986 neither his wife nor daughters had any clue about his real profession.,"    DirectorAriel Vromen     StarsMichael Shannon, Chris Evans, James Franco, Winona Ryder","72,326",106.0,1.94
194,Hannibal Rising,2007,"Action, Adventure, Crime            ",6.2,After the death of his parents during World War II young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.,"    DirectorPeter Webber     StarsGaspard Ulliel, Rhys Ifans, Gong Li, Aaran Thomas","1,06,197",121.0,27.67
195,The Day the Earth Stood Still,2008,"Drama, Sci-Fi, Thriller            ",5.5,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,"    DirectorScott Derrickson     StarsKeanu Reeves, Jennifer Connelly, Kathy Bates, Jaden Smith","1,65,900",104.0,79.37
196,The Adventures of Sharkboy and Lavagirl 3-D,2005,"Action, Adventure, Comedy            ",3.7,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.,"    DirectorRobert Rodriguez     StarsCayden Boyd, George Lopez, Kristin Davis, David Arquette","34,853",93.0,39.18
197,Taken 2,2012,"Action, Crime, Thriller            ",6.3,In Istanbul retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.,"    DirectorOlivier Megaton     StarsLiam Neeson, Famke Janssen, Maggie Grace, Leland Orser","2,95,140",92.0,139.85
198,The Ugly Truth,2009,"Comedy, Romance            ",6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,"    DirectorRobert Luketic     StarsKatherine Heigl, Gerard Butler, Bree Turner, Eric Winter","2,09,052",96.0,88.92
199,Sweet Virginia,2017,"Action, Drama, Thriller            ",6.2,A former rodeo champ befriends a young man with a propensity for violence.,"    DirectorJamie M. Dagg     StarsJon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt","9,324",93.0,0.01
200,Deliver Us from Evil,2014,"Action, Biography, Crime            ",6.2,New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest schooled in the rites of exorcism to combat the possessions that are terrorizing their city.,"    DirectorScott Derrickson     StarsEric Bana, Edgar Ramírez, Olivia Munn, Chris Coy","73,461",118.0,30.58
201,The Human Centipede II (Full Sequence),2011,Horror            ,3.8,Inspired by the fictional Dr. Heiter disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.,"    DirectorTom Six     StarsLaurence R. Harvey, Ashlynn Yennie, Maddi Black, Kandace Caine","36,912",91.0,0.12
202,Dead Man Down,2013,"Action, Crime, Drama            ",6.5,In New York City a crime lord's right-hand man is helped by a woman seeking retribution.,"    DirectorNiels Arden Oplev     StarsColin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard","65,672",118.0,10.88
203,Step Up,2006,"Crime, Drama, Music            ",6.5,Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school gaining him the chance to earn a scholarship and dance with an up and coming dancer Nora.,"    DirectorAnne Fletcher     StarsChanning Tatum, Jenna Dewan, Damaine Radcliff, De'Shawn Washington","1,13,232",104.0,65.33
204,Child 44,2015,"Crime, Drama, History            ",6.5,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,"    DirectorDaniel Espinosa     StarsTom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman","67,925",137.0,1.21
205,Berlin Syndrome,2017,"Drama, Horror, Mystery            ",6.3,A passionate holiday romance leads to an obsessive relationship when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.,"    DirectorCate Shortland     StarsTeresa Palmer, Max Riemelt, Matthias Habich, Emma Bading","23,476",116.0,0.03
206,Office Christmas Party,2016,Comedy            ,5.9,When his uptight CEO sister threatens to shut down his branch the branch manager throws an epic Christmas party in order to land a big client and save the day but the party gets way out of hand...,"    DirectorsJosh Gordon, Will Speck     StarsJason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston","72,433",105.0,54.77
207,White Girl,2016,"Crime, Drama            ",5.7,Summer New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong she goes to wild extremes to get him back.,"    DirectorElizabeth Wood     StarsMorgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez","10,127",88.0,0.2
208,Mercury Rising,1998,"Action, Crime, Drama            ",6.1,Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,"    DirectorHarold Becker     StarsBruce Willis, Miko Hughes, Alec Baldwin, Chi McBride","70,935",111.0,32.94
209,Suburbicon,2017,"Comedy, Crime, Drama            ",5.7,As a 1950s suburban community self-destructs a home invasion has sinister consequences for one seemingly normal family.,"    DirectorGeorge Clooney     StarsMatt Damon, Julianne Moore, Oscar Isaac, Noah Jupe","41,867",105.0,5.78
210,Better Watch Out,2016,"Comedy, Horror, Thriller            ",6.5,On a quiet suburban street a babysitter must defend a twelve-year-old boy from intruders only to discover it's far from a normal home invasion.,"    DirectorChris Peckover     StarsOlivia DeJonge, Levi Miller, Ed Oxenbould, Aleks Mikic","33,703",89.0,0.02
211,Safe,2012,"Action, Crime, Thriller            ",6.5,Mei a young girl whose memory holds a priceless numerical code finds herself pursued by the Triads the Russian mob and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.,"    DirectorBoaz Yakin     StarsJason Statham, Catherine Chan, Chris Sarandon, Robert John Burke","1,06,164",94.0,17.14
212,Killerman,2019,"Action, Crime, Thriller            ",5.4,Two NYC money launderers make a quick drug deal. Things go wrong as dirty cops are involved. One of the friends gets amnesia during their escape with the drugs and money.,"    DirectorMalik Bader     StarsLiam Hemsworth, Emory Cohen, Diane Guerrero, Zlatko Buric","4,495",112.0,0.28
213,The Devil's Own,1997,"Action, Crime, Drama            ",6.2,A police officer uncovers the real identity of his house-guest an I.R.A. terrorist in hiding.,"    DirectorAlan J. Pakula     StarsHarrison Ford, Brad Pitt, Margaret Colin, Rubén Blades","62,161",111.0,42.87
214,Kaze tachinu,2013,"Animation, Biography, Drama            ",7.8,A look at the life of Jiro Horikoshi the man who designed Japanese fighter planes during World War II.,"    DirectorHayao Miyazaki     StarsHideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura","77,732",126.0,5.21
215,Super Dark Times,2017,"Crime, Drama, Horror            ",6.6,Teenagers Zach and Josh have been best friends their whole lives but when a gruesome accident leads to a cover-up the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.,"    DirectorKevin Phillips     StarsOwen Campbell, Charlie Tahan, Elizabeth Cappuccino, Amy Hargreaves","20,965",103.0,0.03
216,Zwartboek,2006,"Drama, Thriller, War            ",7.7,In the Nazi-occupied Netherlands during World War II a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.,"    DirectorPaul Verhoeven     StarsCarice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn","74,139",145.0,4.4
217,"See No Evil, Hear No Evil",1989,"Comedy, Crime            ",6.9,Dave is deaf and Wally is blind. They witness a murder but it was Dave who was looking at her and Wally who was listening.,"    DirectorArthur Hiller     StarsRichard Pryor, Gene Wilder, Joan Severance, Kevin Spacey","51,788",103.0,46.91
218,Beasts of No Nation,2015,"Drama, War            ",7.7,A drama based on the experiences of Agu a child soldier fighting in the civil war of an unnamed African country.,"    DirectorCary Joji Fukunaga     StarsAbraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote","76,530",137.0,0.08
219,Isn't It Romantic,2019,"Comedy, Fantasy, Musical            ",5.9,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,"    DirectorTodd Strauss-Schulson     StarsRebel Wilson, Liam Hemsworth, Adam Devine, Priyanka Chopra Jonas","65,584",89.0,48.79
220,The Ghost Writer,2010,"Crime, Drama, Mystery            ",7.2,A ghost writer hired to complete the memoirs of a former British Prime Minister uncovers secrets that put his own life in jeopardy.,"    DirectorRoman Polanski     StarsEwan McGregor, Pierce Brosnan, Olivia Williams, Jon Bernthal","1,59,090",128.0,15.54
221,Valley of the Dolls,1967,"Drama, Music, Romance            ",6.0,Film version of Jacqueline Susann's best-selling novel chronicling the rise and fall of three young women in show business.,"    DirectorMark Robson     StarsBarbara Parkins, Patty Duke, Paul Burke, Sharon Tate","7,900",123.0,44.43
222,The Shack,2017,"Drama, Fantasy            ",6.3,A grieving man receives a mysterious personal invitation to meet with God at a place called The Shack.,"    DirectorStuart Hazeldine     StarsSam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell","31,775",132.0,57.39
223,Maggie,2015,"Drama, Horror, Sci-Fi            ",5.6,A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation her loving father stays by her side.,"    DirectorHenry Hobson     StarsArnold Schwarzenegger, Abigail Breslin, Joely Richardson, Laura Cayouette","42,895",95.0,0.19
224,Broken City,2013,"Action, Crime, Drama            ",6.2,In a city rife with injustice ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.,"    DirectorAllen Hughes     StarsMark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright","77,749",109.0,19.7
225,Step Up 2: The Streets,2008,"Drama, Music, Romance            ",6.2,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,"    DirectorJon M. Chu     StarsRobert Hoffman, Briana Evigan, Cassie Ventura, Adam Sevani","82,792",98.0,58.02
226,Contraband,2012,"Action, Crime, Drama            ",6.4,To protect his brother-in-law from a drug lord a former smuggler heads to Panama to score millions of dollars in counterfeit bills.,"    DirectorBaltasar Kormákur     StarsMark Wahlberg, Giovanni Ribisi, Kate Beckinsale, Robert Wahlberg","1,19,261",109.0,66.53
227,The Client,1994,"Crime, Drama, Mystery            ",6.7,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,"    DirectorJoel Schumacher     StarsSusan Sarandon, Tommy Lee Jones, Brad Renfro, Mary-Louise Parker","62,748",119.0,92.12
228,Mirror Mirror,2012,"Adventure, Comedy, Drama            ",5.6,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,"    DirectorTarsem Singh     StarsLily Collins, Julia Roberts, Armie Hammer, Nathan Lane","85,615",106.0,64.94
229,I Spit on Your Grave 2,2013,"Horror, Thriller            ",5.7,When Katie innocently accepts an offer to have new photos taken for her portfolio the experience quickly turns into a nightmare of rape torture and kidnapping. Now she will have to find the strength to exact her brutal revenge.,"    DirectorSteven R. Monroe     StarsJemma Dallender, Joe Absolom, Yavor Baharov, George Zlatarev","28,118",106.0,0.0
230,The Great Gatsby,1974,"Drama, Romance            ",6.4,A Midwesterner becomes fascinated with his nouveau riche neighbor who obsesses over his lost love.,"    DirectorJack Clayton     StarsRobert Redford, Mia Farrow, Bruce Dern, Karen Black","24,087",144.0,6.74
231,Thelma,2017,"Drama, Fantasy, Horror            ",7.0,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,"    DirectorJoachim Trier     StarsEili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen","28,282",116.0,0.15
232,Step Up 3D,2010,"Drama, Music, Romance            ",6.2,A tight-knit group of New York City street dancers find themselves pitted against the world's best hip hop dancers in a high-stakes showdown.,"    DirectorJon M. Chu     StarsSharni Vinson, Rick Malambri, Adam Sevani, Alyson Stoner","56,610",107.0,42.4
233,Triple Threat,2019,"Action, Thriller            ",5.6,When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins a team of mercenaries must stop them before they kill her.,"    DirectorJesse V. Johnson     StarsTony Jaa, Tiger Hu Chen, Iko Uwais, Scott Adkins","10,345",96.0,0.08
234,Kari-gurashi no Arietti,2010,"Animation, Adventure, Family            ",7.6,The Clock family are four-inch-tall people who live anonymously in another family's residence borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered.,"    DirectorHiromasa Yonebayashi     StarsAmy Poehler, Will Arnett, Mirai Shida, Ryûnosuke Kamiki","84,951",94.0,19.2
235,Step Up Revolution,2012,"Drama, Music, Romance            ",6.4,Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.,"    DirectorScott Speer     StarsKathryn McCormick, Ryan Guzman, Cleopatra Coleman, Misha Gabriel Hamilton","54,763",99.0,35.07
236,Cloudy with a Chance of Meatballs 2,2013,"Animation, Adventure, Comedy            ",6.4,Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids.,"    DirectorsCody Cameron, Kris Pearn     StarsBill Hader, Anna Faris, Will Forte, Neil Patrick Harris","94,660",95.0,119.79
237,Brooklyn's Finest,2009,"Action, Crime, Drama            ",6.7,Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,"    DirectorAntoine Fuqua     StarsRichard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes","61,994",132.0,27.15
238,Mirrors,2008,"Horror, Mystery            ",6.1,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,"    DirectorAlexandre Aja     StarsKiefer Sutherland, Paula Patton, Amy Smart, Cameron Boyce","1,03,973",110.0,30.69
239,Honeymoon,2014,"Drama, Fantasy, Horror            ",5.7,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,"    DirectorLeigh Janiak     StarsRose Leslie, Harry Treadaway, Ben Huber, Hanna Brown","24,861",87.0,0.01
240,Touch of Evil,1958,"Crime, Drama, Film-Noir            ",8.0,A stark perverse story of murder kidnapping and police corruption in a Mexican border town.,"    DirectorOrson Welles     StarsCharlton Heston, Orson Welles, Janet Leigh, Joseph Calleia","1,00,664",95.0,2.24
241,True Story,2015,"Biography, Crime, Drama            ",6.3,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,"    DirectorRupert Goold     StarsJames Franco, Jonah Hill, Felicity Jones, Maria Dizzia","65,679",99.0,4.72
242,Planes,2013,"Animation, Adventure, Comedy            ",5.7,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.,"    DirectorKlay Hall     StarsCarlos Alazraqui, Dane Cook, Stacy Keach, Brad Garrett","43,335",91.0,90.29
243,Omoide no Mânî,2014,"Animation, Drama, Family            ",7.7,Due to 12 y.o. Anna's asthma she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone sketching. She befriends Marnie. Who is the mysterious blonde Marnie.,"    DirectorsJames Simone, Hiromasa Yonebayashi     StarsSara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima","35,523",103.0,0.77
244,The One I Love,2014,"Comedy, Drama, Romance            ",7.1,A troubled couple vacate to a beautiful getaway but bizarre circumstances further complicate their situation.,"    DirectorCharlie McDowell     StarsMark Duplass, Elisabeth Moss, Ted Danson, Kiana Cason","37,373",91.0,0.51
245,Jeepers Creepers 3,2017,Horror            ,3.9,Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.,"    DirectorVictor Salva     StarsStan Shaw, Gabrielle Haugh, Brandon Smith, Meg Foster","19,260",100.0,2.24
246,Geronimo: An American Legend,1993,"Drama, History, Western            ",6.5,The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.,"    DirectorWalter Hill     StarsJason Patric, Gene Hackman, Robert Duvall, Wes Studi","10,096",115.0,18.64
247,The Immigrant,2013,"Drama, Romance            ",6.6,1921. An innocent immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.,"    DirectorJames Gray     StarsMarion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk","30,649",120.0,2.01
248,Step Up All In,2014,"Drama, Music, Romance            ",6.0,All-stars from the previous Step Up installments come together in glittering Las Vegas battling for a victory that could define their dreams and their careers.,"    DirectorTrish Sie     StarsRyan Guzman, Briana Evigan, Adam Sevani, Misha Gabriel Hamilton","33,247",112.0,14.9
249,Take Me,2017,"Comedy, Crime, Mystery            ",6.1,Ray is a fledgling entrepreneur who specializes in high-end simulated abductions. He jumps at the chance when a mysterious client contracts him for a weekend kidnapping with a handsome ...                See full summary »,"    DirectorPat Healy     StarsPat Healy, Taylor Schilling, Alycia Delmore, Jim O'Heir","5,088",83.0,0.0
250,Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance            ",7.6,Tells the story of a young woman's relentless search for her fiancé who has disappeared from the trenches of the Somme during World War One.,"    DirectorJean-Pierre Jeunet     StarsAudrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon","71,916",133.0,6.17
251,Kokuriko-zaka kara,2011,"Animation, Drama, Family            ",7.4,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,"    DirectorGorô Miyazaki     StarsSarah Bolger, Chris Noth, Anton Yelchin, Christina Hendricks","38,625",91.0,1.0
252,Extremely Loud & Incredibly Close,2011,"Adventure, Drama, Mystery            ",6.9,A nine-year-old amateur inventor Francophile and pacifist searches New York City for the lock that matches a mysterious key left behind by his father who died in the World Trade Center on September 11 2001.,"    DirectorStephen Daldry     StarsThomas Horn, Tom Hanks, Sandra Bullock, Max von Sydow","99,165",129.0,31.85
253,Red Riding Hood,2011,"Fantasy, Horror, Mystery            ",5.5,Set in a medieval village that is haunted by a werewolf a young girl falls for an orphaned woodcutter much to her family's displeasure.,"    DirectorCatherine Hardwicke     StarsAmanda Seyfried, Lukas Haas, Gary Oldman, Billy Burke","1,09,473",100.0,37.66
254,Get Rich or Die Tryin',2005,"Biography, Crime, Drama            ",5.4,A tale of an inner city drug dealer who turns away from crime to pursue his passion rap music.,"    DirectorJim Sheridan     Stars50 Cent, Joy Bryant, Adewale Akinnuoye-Agbaje, Omar Benson Miller","45,092",117.0,30.98
255,Hit and Run,2012,"Action, Adventure, Comedy            ",6.1,Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles' former gang chase them on the road.,"    DirectorsDavid Palmer, Dax Shepard     StarsDax Shepard, Kristen Bell, Bradley Cooper, Kristin Chenoweth","35,252",100.0,13.75
256,Duck Butter,2018,"Comedy, Drama, Romance            ",5.3,Two women who are dissatisfied with the dishonesty they see in dating and relationships decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.,"    DirectorMiguel Arteta     StarsAlia Shawkat, Drew Langer, Marc Maron, Mark Duplass","3,531",93.0,0.01
257,Liu lang di qiu,2019,"Action, Adventure, Sci-Fi            ",6.0,As the sun is dying out people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers and in order to save humanity a group of young people in this age of a wandering Earth fight hard for the survival of humankind.,"    DirectorFrant Gwo     StarsJing Wu, Chuxiao Qu, Guangjie Li, Man-Tat Ng","28,264",125.0,5.88
258,Philomena,2013,"Biography, Comedy, Drama            ",7.6,A world-weary political journalist picks up the story of a woman's search for her son who was taken away from her decades ago after she became pregnant and was forced to live in a convent.,"    DirectorStephen Frears     StarsJudi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham","96,244",98.0,37.71
259,Alvin and the Chipmunks: The Squeakquel,2009,"Animation, Adventure, Comedy            ",4.5,The world-famous singing preteen chipmunk trio return to contend with the pressures of school celebrity and a rival female music group known as The Chipettes.,"    DirectorBetty Thomas     StarsJason Lee, Zachary Levi, David Cross, Justin Long","45,491",88.0,219.61
260,In the Name of the King: A Dungeon Siege Tale,2007,"Action, Adventure, Fantasy            ",3.8,A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son two acts committed by the Krugs a race of animal-warriors who are controlled by the evil Gallian.,"    DirectorUwe Boll     StarsJason Statham, Ron Perlman, Ray Liotta, Leelee Sobieski","46,327",127.0,4.54
261,The Little Mermaid,2018,"Adventure, Drama, Fantasy            ",4.3,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,"    DirectorsBlake Harris, Chris Bouchard     StarsWilliam Moseley, Poppy Drayton, Loreto Peralta, Armando Gutierrez","8,546",85.0,7.15
262,Miss Bala,2019,"Action, Crime, Drama            ",5.8,Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning inventiveness and strength. Based on the Spanish-language film.,"    DirectorCatherine Hardwicke     StarsGina Rodriguez, Thomas Dekker, Vivian Chan, Barbarella Pardo","10,048",104.0,15.01
263,John Dies at the End,2012,"Comedy, Fantasy, Horror            ",6.4,A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent otherworldly invasion,"    DirectorDon Coscarelli     StarsChase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown","37,007",99.0,0.14
264,Kaguya-hime no monogatari,2013,"Animation, Adventure, Drama            ",8.0,Found inside a shining stalk of bamboo by an old bamboo cutter and his wife a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her but ultimately she must confront her fate the punishment for her crime.,"    DirectorIsao Takahata     StarsChloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden","41,510",137.0,1.51
265,Dumbo,1941,"Animation, Adventure, Drama            ",7.2,Ridiculed because of his enormous ears a young circus elephant is assisted by a mouse to achieve his full potential.,"    DirectorsSamuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte     StarsSterling Holloway, Edward Brophy, Herman Bing, Mel Blanc","1,24,409",64.0,1.6
266,Le Petit Prince,2015,"Animation, Adventure, Drama            ",7.7,A little girl lives in a very grown-up world with her mother who tries to prepare her for it. Her neighbor the Aviator introduces the girl to an extraordinary world where anything is possible the world of the Little Prince.,"    DirectorMark Osborne     StarsJeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard","58,668",108.0,1.34
267,Tangerine,2015,"Comedy, Crime, Drama            ",7.1,A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.,"    DirectorSean Baker     StarsKitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan","28,651",88.0,0.7
268,A Man Apart,2003,"Action, Crime, Drama            ",6.1,A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.,"    DirectorF. Gary Gray     StarsVin Diesel, Timothy Olyphant, Larenz Tate, Geno Silva","46,040",109.0,26.18
269,Romeo & Juliet,2013,"Drama, Romance            ",5.8,Romeo and Juliet secretly wed despite the sworn contempt their families hold for each other. It is not long however before a chain of fateful events changes the lives of both families forever.,"    DirectorCarlo Carlei     StarsHailee Steinfeld, Douglas Booth, Damian Lewis, Laura Morante","11,411",118.0,1.16
270,Mongol,2007,"Action, Biography, Drama            ",7.2,The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.,"    DirectorSergei Bodrov     StarsTadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun","45,408",126.0,5.7
271,The Gunman,2015,"Action, Crime, Thriller            ",5.8,A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later he becomes the target of a hit squad himself.,"    DirectorPierre Morel     StarsSean Penn, Idris Elba, Jasmine Trinca, Javier Bardem","39,993",115.0,10.64
272,Yip Man 3,2015,"Action, Biography, Drama            ",7.1,When a band of brutal gangsters led by a crooked property developer make a play to take over a local school Master Ip is forced to take a stand.,"    DirectorWilson Yip     StarsDonnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson","51,648",105.0,2.68
273,Mugen no jûnin,2017,"Action, Drama, Fantasy            ",6.8,Cursed with a life of immortality a samurai is tasked by a young girl to help avenge the death of her father. Based on the manga series by Hiroaki Samura.,"    DirectorTakashi Miike     StarsTakuya Kimura, Hana Sugisaki, Sôta Fukushi, Hayato Ichihara","16,248",140.0,0.15
274,Kal Hee,1991,"Animation, Drama, Romance            ",7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,"    DirectorIsao Takahata     StarsMiki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka","28,969",118.0,0.45
275,Kahaani,2012,"Mystery, Thriller            ",8.1,A pregnant woman's search for her missing husband takes her from London to Kolkata but everyone she questions denies having ever met him.,"    DirectorSujoy Ghosh     StarsVidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui","59,675",122.0,1.04
276,Arbitrage,2012,"Drama, Thriller            ",6.6,A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,"    DirectorNicholas Jarecki     StarsRichard Gere, Susan Sarandon, Brit Marling, Tim Roth","51,051",107.0,7.92
277,Premium Rush,2012,"Action, Crime, Thriller            ",6.5,In Manhattan a bike messenger picks up an envelope that attracts the interest of a dirty cop who pursues the cyclist throughout the city.,"    DirectorDavid Koepp     StarsJoseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Sean Kennedy","1,11,533",91.0,20.28
278,Gedo senki,2006,"Animation, Adventure, Fantasy            ",6.4,In a mythical land a man and a young boy investigate a series of unusual occurrences.,"    DirectorGorô Miyazaki     StarsTimothy Dalton, Willem Dafoe, Mariska Hargitay, Jun'ichi Okada","37,082",115.0,0.05
279,The Painted Veil,2006,"Drama, Romance            ",7.5,A British medical doctor fights a cholera epidemic in a small Chinese village while being trapped at home in a loveless marriage to an unfaithful wife.,"    DirectorJohn Curran     StarsNaomi Watts, Edward Norton, Liev Schreiber, Catherine An","90,212",125.0,8.06
280,Beirut,2018,"Action, Crime, Drama            ",6.5,Caught in the crossfires of civil war CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind.,"    DirectorBrad Anderson     StarsJon Hamm, Jay Potter, Khalid Benchagra, Ania Josse","20,085",110.0,5.02
281,An Interview with God,2018,"Drama, Mystery            ",5.8,An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime - with someone who claims to be God.,"    DirectorPerry Lang     StarsDavid Strathairn, Brenton Thwaites, Yael Grobglas, Charlbi Dean","3,470",97.0,1.25
