,Movies,Year,Genre,Rating,One-Line Description,Stars,Votes,Run Time,Gross
117,Jurassic Park III,2001,"Action, Adventure, Sci-Fi            ",5.9,A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday but their unexpected landing startles the island's new inhabitants.,"    DirectorJoe Johnston     StarsSam Neill, William H. Macy, Téa Leoni, Alessandro Nivola","3,02,292",92.0,181.17
118,Revenge,2017,"Action, Horror, Thriller            ",6.4,Never take your mistress on an annual guys' getaway especially one devoted to hunting - a violent lesson for three wealthy married men.,"    DirectorCoralie Fargeat     StarsMatilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède","39,034",108.0,0.1
119,Total Recall,2012,"Action, Adventure, Sci-Fi            ",6.2,A factory worker Douglas Quaid begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.,"    DirectorLen Wiseman     StarsColin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale","2,44,708",118.0,58.88
120,Footloose,1984,"Drama, Music, Romance            ",6.6,A city teenager moves to a small town where rock music and dancing have been banned and his rebellious spirit shakes up the populace.,"    DirectorHerbert Ross     StarsKevin Bacon, Lori Singer, John Lithgow, Dianne Wiest","73,935",107.0,80.04
121,Brooklyn,2015,"Drama, Romance            ",7.5,An Irish immigrant lands in 1950s Brooklyn where she quickly falls into a romance with a local. When her past catches up with her however she must choose between two countries and the lives that exist within.,"    DirectorJohn Crowley     StarsSaoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent","1,35,157",117.0,38.32
122,Child's Play,2019,"Drama, Horror, Sci-Fi            ",5.7,A mother gives her 13-year-old son a toy doll for his birthday unaware of its more sinister nature.,"    DirectorLars Klevberg     StarsTim Matheson, Ben Daon, Zahra Anderson, Serge Jaswal","46,932",90.0,29.21
123,The Danish Girl,2015,"Biography, Drama, Romance            ",7.1,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,"    DirectorTom Hooper     StarsEddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw","1,71,124",119.0,11.11
124,The Bad Batch,2016,"Action, Horror, Mystery            ",5.3,In a desert dystopia a young woman is kidnapped by cannibals.,"    DirectorAna Lily Amirpour     StarsSuki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves","28,243",118.0,0.18
125,Now You See Me 2,2016,"Action, Adventure, Comedy            ",6.5,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,"    DirectorJon M. Chu     StarsJesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco","2,61,079",129.0,65.08
126,The Tourist,2010,"Action, Thriller            ",6.0,Revolves around Frank an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.,"    DirectorFlorian Henckel von Donnersmarck     StarsJohnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton","2,30,565",103.0,67.63
